Ano;Ninho;Altura;Altitude;Altura total;Espessura;Ambiente;Destino;Territorio;Local;Tipo;Femea;Macho;Casal;Idade_femea;Idade_macho;Expfemea;Expmacho;Esp
2007;91;1.1;NA;NA;30.3;Samambaia;Sucesso;Riozinho;Jundia;ovo;31;43;11;2.5;2.5;NA;NA;30.3
2007;92;1.9;NA;NA;NA;Samambaia;Predado;Maezinha;Jundia;ovo;11A;8A;5;3.5;3.5;super;NA;NA
2007;93;1.24;NA;NA;27.6;Cebolama;Predado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;27.6
2007;94;1.2;NA;NA;12.7;Capim-serra;Predado;Viuva;Jundia;cesto;17;12;16;1.5;2.5;inexp;NA;12.7
2007;95;1.18;NA;NA;34.65;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;2.5;2.5;NA;NA;34.65
2007;96;1.18;NA;NA;19;Capim-serra;Predado;Ponta L;Jundia;ovo;42;5;15;2.5;2.5;NA;NA;19
2007;97;1.5;2.81;4,311;29.5;Samambaia;Predado;Magenta;Jundia;ovo;51;47;2;10.5;2.5;super;NA;29.5
2007;99;1.6;NA;NA;29.2;Samambaia;Predado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;29.2
2007;101;1.2;NA;NA;9.85;Capim-serra;Sucesso;Ponta L;Jundia;ovo;42;5;15;2.5;2.5;NA;NA;9.85
2007;102;1.69;NA;NA;15;Samambaia;Predado;Magenta;Jundia;ovo;51;47;2;10.5;2.5;super;NA;15
2007;103;1.49;NA;NA;8.5;Samambaia;Tombado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;8.5
2007;105;0.84;NA;NA;28;Cebolama;Alagado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;28
2007;109;0.78;NA;NA;11.2;Cebolama;Alagado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;11.2
2007;110;1.7;NA;NA;NA;Samambaia;Predado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;NA
2008;111;1.3;2.66;3.96;7.5;Capim-serra;Sucesso;Azulzinho;Jundia;ovo;16;44;7;3.5;3;NA;exp;7.5
2008;114;0.52;2.57;3,086;7.5;Cebolama;Alagado;Acelerado;Jundia;cesto;74;13;10;2.5;3;NA;exp;7.5
2008;115;1.51;2.78;4,293;NA;Samambaia;Tombado;Magenta;Jundia;cesto;51;47;2;11.5;3.5;super;NA;NA
2008;116;1.98;NA;NA;45;Samambaia;Tombado;Rosinha;Jundia;cesto;53;46;1;3.5;3.5;NA;NA;45
2008;120;0.6;2.56;3.163;-;Cebolama;Alagado;Acelerado;Jundia;ovo;74;13;10;2.5;3;NA;exp;-
2008;122;1.1;NA;NA;27.5;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;3.5;3.5;NA;NA;27.5
2008;123;1.35;NA;NA;27.5;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;3.5;3.5;NA;NA;27.5
2008;124;NA;2.81;NA;NA;Cebolama;Predado;Magenta;Jundia;ovo;51;47;2;11.5;3.5;super;NA;NA
2008;125;0.95;NA;NA;NA;Cebolama;Tombado;Rosinha;Jundia;ovo;53;46;1;3.5;3.5;NA;NA;NA
2008;128;NA;2.48;NA;NA;Cebolama;Predado;Velho;Jundia;ovo;49;38A;19;3.5;12.5;NA;super;NA
2008;131;NA;2.68;NA;NA;Capim-serra;Predado;Azulzinho;Jundia;ovo;16;44;7;3.5;3;NA;exp;NA
2008;132;0.85;2.53;3.38;27.5;Cebolama;Tombado;Rosinha;Jundia;ovo;53;46;1;3.5;3.5;NA;NA;27.5
2008;133;0.84;2.6;3,436;NA;Cebolama;Tombado;Magenta;Jundia;ovo;51;47;2;11.5;3.5;super;NA;NA
2009;136;1.15;2.58;3,727;37.5;Capim-serra;Tombado;Azulzinho;Jundia;cesto;16;44;7;4.5;4;super;exp;37.5
2009;137;0.82;2.34;3,163;22.5;Cebolama;Alagado;Rosinha;Jundia;ovo;53;46;1;4.5;4.5;super;super;22.5
2009;139;1.12;2.64;3.76;12.5;Capim-serra;Sucesso;Ponta L;Jundia;ovo;42;5;15;4.5;4.5;super;super;12.5
2009;143;0.76;2.38;3.14;30;Cebolama;Alagado;Rosaldo;Jundia;ovo;50;Fi8;20;4.5;2;super;inexp;30
2009;144;1.7;2.58;4,282;NA;Samambaia;Tombado;Velho;Jundia;ovo;49;38A;19;4.5;13.5;super;super;NA
2009;146;1.95;2.44;4,389;NA;Samambaia;Predado;Velho;Jundia;cesto;49;38A;19;4.5;13.5;super;super;NA
2009;147;0.89;2.56;3,451;7.5;Capim-serra;Alagado;Riozinho;Jundia;ovo;31;43;11;4.5;4.5;super;super;7.5
2009;150;1.35;2.62;3,969;35;Capim-serra;Sucesso;Azulzinho;Jundia;ovo;16;44;7;4.5;4;super;exp;35
2009;151;1.72;2.59;4,305;22.5;Samambaia;Predado;Rosaldo;Jundia;ovo;50;Fi8;20;4.5;2;super;inexp;22.5
2009;152;0.95;2.56;3,511;20;Capim-serra;Sucesso;Riozinho;Jundia;ovo ;31;43;11;4.5;4.5;super;super;20
2009;153;1.43;2.44;3,872;NA;Samambaia;Tombado;Rosinha;Jundia;ovo ;53;46;1;4.5;4.5;super;super;NA
2009;154;0.9;2.5;3,404;30;Cebolama;Tombado;Rosaldo;Jundia;ovo ;50;Fi8;20;4.5;2;super;inexp;30
2009;158;1.73;2.44;4,169;22.5;Samambaia;Sucesso;Velho;Jundia;ovo;49;38A;19;4.5;13.5;super;super;22.5
2009;162;1.08;2.53;3,611;17.5;Cebolama;Predado;Rosinha;Jundia;ovo;53;46;1;4.5;4.5;super;super;17.5
2009;163;0.67;2.43;3,104;15;Cebolama;Alagado;Rosaldo;Jundia;ovo;50;Fi8;20;4.5;2;super;inexp;15
2009;166;1.25;2.45;3,697;25;Cebolama;Predado;Rosinha;Jundia;ovo;53;46;1;4.5;4.5;super;super;25
2009;170;1.26;2.66;3,918;35;Capim-serra;Tombado;Ponta L;Jundia;ovo;42;5;15;4.5;4.5;super;super;35
2009;172;0.93;2.36;3,291;30;Cebolama;Tombado;Rosaldo;Jundia;cesto;50;Fi8;20;4.5;2;super;inexp;30
2013;211;1.32;NA;NA;NA;Capim-serra;Sucesso;Azulzinho;Jundia;ovo;177;138;38;4;5;exp;super;NA
2013;213;1.6;2.34;3,938;NA;Samambaia;Sucesso;Velho;Jundia;ovo;183;268;42;4;2;exp;NA;NA
2013;222;1.13;2.61;3,738;NA;Cebolama;Predado;Azulzinho;Jundia;ovo;177;138;38;4;5;exp;super;NA
2013;230;1.67;2.44;4,109;NA;Samambaia;Sucesso;Velho;Jundia;ovo;183;268;42;4;2;exp;NA;NA
2014;233;1.14;2.53;3.67;NA;Capim-serra;Sucesso;Azulzinho;Jundia;ovo;177;138;38;5;6;super;super;NA
2014;251;1.37;2.58;3,947;NA;Capim-serra;Tombado;Azulzinho;Jundia;ovo;177;138;38;5;6;super;super;NA
2015;265;0.61;2.67;3,283;NA;Cebolama;Alagado;Acelerado;Jundia;ovo;305;193;65;2;4.5;NA;super;NA
2015;275;1.45;2.59;4,035;NA;Samambaia;Sucesso;Acelerado;Jundia;ovo;305;193;65;2;4.5;NA;super;NA
2018;330;1.23;2.61;3,838;NA;Capim-serra;Predado;Azulzinho;Jundia;ovo;357;356;88;2.5;1.5;NA;NA;NA
2018;339;1.21;2.52;3,726;NA;Capim-serra;Sucesso;Capim-serra;Jundia;ovo;21;137;31;13.5;10;super;super;NA
2018;344;1.32;2.58;3,904;NA;Samambaia;Tombado;Azulzinho;Jundia;ovo;357;356;88;2.5;1.5;NA;NA;NA
2018;356;1.16;2.52;3,676;NA;Capim-serra;Tombado;Capim-serra;Jundia;cesto;21;137;31;13.5;10;super;super;NA
2019;364;NA;2.45;NA;NA;Capim-serra;Predado;Capim-serra;Jundia;cesto;21;137;31;14.5;11;super;super;NA
2019;373;NA;2.52;NA;NA;Capim-serra;Sucesso;Capim-serra;Jundia;ovo;21;137;31;14.5;11;super;super;NA
2019;379;0.67;2.5;3,172;NA;Cebolama;Alagado;Maezinha;Jundia;ovo;353;376;98;3.5;0.5;NA;NA;NA
2019;380;0.99;2.55;3,535;NA;Cebolama;Predado;Maezinha;Jundia;ovo;353;376;98;3.5;0.5;NA;NA;NA
2021;415;1.25;2.55;3,802;NA;Capim-serra;Sucesso;Mao de borracha;Jundia;ovo;339;354;95;6.5;5.5;super;super;NA
2021;440;0.89;2.52;3,405;NA;Capim-serra;Sucesso;Mao de borracha;Jundia;ovo;339;354;95;6.5;5.5;super;super;NA
2013;102F;1.12;2.33;3,453;NA;Samambaia;Predado;Primeirinho;Folha;ovo;135;200;28F;5.5;3.5;super;NA;NA
2013;119F;1.84;2.42;2,258;NA;Samambaia;Sucesso;Primeirinho;Folha;ovo;135;200;28F;5.5;3.5;super;NA;NA
2009;11C;0.72;2.51;3,232;27.5;Uvira;Alagado;Colorado;Conti;ovo;117;122;6C;2.5;2;NA;inexp;27.5
2015;124C;0.77;2.47;3.24;NA;Cebolama;Alagado;Vermelhinha;Conti;ovo;321;303;36C;1.5;2.5;NA;inexp;NA
2015;130C;0.72;2.64;3,357;NA;Uvira;Alagado;Vermelhinha;Conti;ovo;321;303;36C;1.5;2.5;NA;inexp;NA
2015;133F;0.92;2.54;3,458;NA;Manguezal;Predado;Ypsolone;Folha;ovo;323;307;49F;2;2.5;NA;inexp;NA
2015;134F;0.65;2.52;3.17;NA;Manguezal;Alagado;Ypsolone;Folha;ovo;323;307;49F;2;2.5;NA;inexp;NA
2009;14C;1.15;2.53;3,684;30;Capim-serra;Predado;Asinha;Conti;ovo;94;171;10C;3;1;NA;NA;30
2015;152F;NA;2.47;NA;NA;Manguezal;Predado;Manguito;Folha;ovo;204;Fi35;32F;5;5;super;super;NA
2009;15C;0.9;2.58;3,479;37.5;Cebolama;Predado;Barbantinho;Conti;ovo;170;119;11C;1;2;NA;inexp;37.5
2015;160F;0.76;2.45;3,214;NA;Manguezal;Alagado;Manguito;Folha;ovo;204;Fi35;32F;5;5;super;super;NA
2016;165F;0.67;2.52;3,193;NA;Typha;Alagado;Salsicha;Folha;ovo;142;Fi69;59F;8.5;8.5;super;super;NA
2016;174F;0.97;2.52;3,493;NA;Manguezal;Alagado;Salsicha;Folha;ovo;142;Fi69;59F;8.5;8.5;super;super;NA
